regex,matcher,regex_length,regex_complexity,input_file,input_file_size (bytes),execution_time (ms),file_type
\bcat\b,-E,7,2.7,20.txt,3399660,25.36781628926595,text
\bcat\b,-E,7,2.7,38.txt,709080,12.949307759602865,text
\bcat\b,-E,7,2.7,25.txt,3492180,28.232336044311523,text
\bcat\b,-E,7,2.7,3.txt,6045810,39.317051569620766,text
\bcat\b,-E,7,2.7,0.txt,48366480,173.91403516133627,text
\bcat\b,-E,7,2.7,41.txt,23636,4.8071543375651045,text
\bcat\b,-E,7,2.7,9.txt,3066030,15.561978022257486,text
\bcat\b,-E,7,2.7,53.txt,14885,4.675706227620442,text
\bcat\b,-E,7,2.7,50.txt,446550,6.95951779683431,text
\bcat\b,-E,7,2.7,11.txt,204402,5.29630978902181,text
\bcat\b,-E,7,2.7,19.txt,6799320,35.38179397583008,text
\bcat\b,-E,7,2.7,21.txt,1699830,17.139911651611328,text
\bcat\b,-E,7,2.7,51.txt,223275,5.956967671712239,text
\bcat\b,-E,7,2.7,35.txt,33256,4.983663558959961,text
\bcat\b,-E,7,2.7,17.txt,137606,5.382378896077474,text
\bcat\b,-E,7,2.7,49.txt,893100,9.635448455810547,text
\bcat\b,-E,7,2.7,24.txt,6984360,40.60045878092448,text
\bcat\b,-E,7,2.7,23.txt,113322,5.381107330322266,text
\bcat\b,-E,7,2.7,14.txt,4128180,18.454790115356445,text
\bcat\b,-E,7,2.7,31.txt,1995360,18.31666628519694,text
\bcat\b,-E,7,2.7,57.txt,188580,5.896647771199544,text
\bcat\b,-E,7,2.7,7.txt,12264120,34.960667292277016,text
\bcat\b,-E,7,2.7,52.txt,74425,5.103747049967448,text
\bcat\b,-E,7,2.7,40.txt,118180,6.115913391113281,text
\bcat\b,-E,7,2.7,4.txt,2015270,22.44416872660319,text
\bcat\b,-E,7,2.7,8.txt,6132060,23.576656977335613,text
\bcat\b,-E,7,2.7,56.txt,377160,5.868752797444661,text
\bcat\b,-E,7,2.7,39.txt,354540,8.861780166625977,text
\bcat\b,-E,7,2.7,6.txt,24528240,50.91182390848795,text
\bcat\b,-E,7,2.7,44.txt,543270,12.693405151367188,text
